BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,13, ,A5, 4716 AMBOY ROAD                           ,            ,10312,1,0,1,"1,871","1,110",2002, 1 , A5 ,"$370,000",12/8/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,65, ,A3, 22 BLUE HERON DRIVE                       ,            ,10312,1,0,1,"8,000","3,800",1987, 1 , A3 ,$0,7/17/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,7, ,A2, 24 SANDBORN STREET                        ,            ,10312,1,0,1,"4,750","2,002",1960, 1 , A2 ,$0,5/30/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,1, ,A1, 381 HAROLD AVENUE                         ,            ,10312,1,0,1,"9,900","1,768",1940, 1 , A1 ,"$740,000",7/29/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,11, ,A1, 168 KINGHORN STREET                       ,            ,10312,1,0,1,"10,000","2,600",1920, 1 , A1 ,$0,6/17/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,21, ,A1, 1660 ARDEN AVENUE                         ,            ,10312,1,0,1,"5,000","1,680",1960, 1 , A1 ,$0,9/12/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5407,11, ,A1, 24 ELMBANK STREET                         ,            ,10312,1,0,1,"5,000","1,520",1910, 1 , A1 ,"$355,000",7/2/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,48, ,A6, 39 SANDGAP STREET                         ,            ,10312,1,0,1,"2,500",710,1950, 1 , A6 ,"$310,000",12/4/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5426,38, ,A1, 25 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,"7,440","3,176",2001, 1 , A1 ,"$745,000",10/9/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,14, ,A5, 97 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,845","1,854",1986, 1 , A5 ,"$395,000",5/21/2014
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,55, ,A5, 36 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,"$325,000",7/11/2014
