BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5398,16, ,A1, 1460 ARDEN AVENUE                         ,            ,10312,1,0,1,"10,000","3,833",1984, 1 , A1 ,"$839,000",3/29/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,46, ,A1, 119 LENZIE STREET                         ,            ,10312,1,0,1,"8,000","4,860",1998, 1 , A1 ,$0,1/18/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5405,20, ,A2, 1634 ARDEN AVENUE                         ,            ,10312,1,0,1,"7,500","2,136",1960, 1 , A2 ,"$585,000",2/22/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1, 24 ELMBANK STREET                         ,            ,10312,1,0,1,"5,000","1,520",1910, 1 , A1 ,"$583,153",1/19/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,16, ,A6, 14 SANDGAP STREET                         ,            ,10312,1,0,1,"2,500",612,1915, 1 , A6 ,$0,12/22/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,68, ,A5, 20 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,"$290,000",6/3/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,122, ,A5, 28 MAY PLACE                              ,            ,10312,1,0,1,"2,475","2,495",1986, 1 , A5 ,$0,4/30/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,128, ,A5, 14 MAY PLACE                              ,            ,10312,1,0,1,"2,400","2,495",1986, 1 , A5 ,"$493,000",7/21/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,44, ,A5, 84 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,300","1,825",1986, 1 , A5 ,"$418,000",3/31/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,51, ,A5, 72 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,"$10,000",9/1/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,60, ,A5, 89 LORRAINE AVENUE                        ,            ,10312,1,0,1,"1,650","2,048",2004, 1 , A5 ,"$400,000",11/8/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,79, ,A2, 1072 ARDEN AVENUE                         ,            ,10312,1,0,1,"4,200",500,1925, 1 , A2 ,$0,7/19/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,172, ,A1, 73 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"4,500","2,454",1965, 1 , A1 ,"$802,500",9/21/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,11, ,A5, 84 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,700","2,285",2004, 1 , A5 ,"$423,000",1/27/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,20, ,A5, 31 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$420,000",6/24/2010
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,59, ,A5, 32 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,$0,8/11/2010
